,Problem_Type,Mean,Difficulty
0,_ajacoby_idPropertyLvl1,0.586922406539,2.0653879673
1,_ajacoby_idPropertyLvl2,0.507386253586,2.46306873207
2,_bmueller_ptWordProblems,0.594412412984,2.02793793508
3,_bmueller_quadFactoredToStandard,0.306127156753,3.46936421624
4,_bmueller_quadInterceptCoefficients,0.478771418275,2.60614290862
5,_bmueller_quadStandardCoefficients,0.42449782616,2.8775108692
6,_bmueller_quadVertexCoefficients,0.46897903464,2.6551048268
7,_bmueller_quadVertexToStandard,0.26275265253,3.68623673735
8,_bmueller_rateOfChangeUnits,0.425657218939,2.87171390531
9,_bmueller_tableToEquation1,0.405234937797,2.97382531102
10,_bmueller_tableToEquation2,0.230304577457,3.84847711272
11,_bmueller_wordProblemsLinearSystems,0.320100439314,3.39949780343
12,_bpeled_masterProductFactoring,0.0590101220955,4.70494938952
13,_jhall_AbsValFunc2,0.693586876592,1.53206561704
14,_jhall_AlgTiles1,0.56091976354,2.1954011823
15,_jhall_AlgTiles2,0.567595871009,2.16202064495
16,_jhall_AlgTiles3,0.564834120617,2.17582939692
17,_jhall_CLTAlgTiles,0.695246936233,1.52376531883
18,_jhall_CLTAlgTiles2,0.583739304334,2.08130347833
19,_jhall_CLTAlgTiles3,0.746374042661,1.2681297867
20,_jhall_ExpressMat1,0.498622990404,2.50688504798
21,_jhall_ExpressMat2,0.297515572924,3.51242213538
22,_jhall_FuncNotGraphL2,0.775308345899,1.1234582705
23,_jhall_IdPoints,0.810309283057,0.948453584715
24,_jhall_LinEqMovies,0.159739810207,4.20130094896
25,_jhall_SetEqualWord,0.251735158655,3.74132420673
26,_jhall_SetEqualWord2,0.350609277667,3.24695361167
27,_jhall_SquRootFun2,0.715450639428,1.42274680286
28,_jhall_SquRootFunc,0.684002408045,1.57998795978
29,_jhall_TablePatterns,0.802062425447,0.989687872763
30,_jhall_elimlevel1FIRSTsteponly,0.59670537088,2.0164731456
31,_jhall_simpleproportions,0.638476895917,1.80761552042
32,_jprairie_intervalNotation,0.663047281391,1.68476359304
33,_jprairie_setComplement,0.742080680597,1.28959659701
34,addRationalalsA1,0.596116914132,2.01941542934
35,areaWordProblems,0.31287466434,3.4356266783
36,averageRateOfChangeEquation,0.0561903215455,4.71904839227
37,averageRateOfChangeGraph,0.100976012293,4.49511993854
38,averageRateOfChangeTable,0.353596381057,3.23201809472
39,axisOfSymmetryVertex,0.226394653207,3.86802673396
40,binomialToPower,0.300428319152,3.49785840424
41,combineLikeTerms,0.30524532172,3.4737733914
42,commutativeAdditionGraphs,0.349158046475,3.25420976763
43,differencePerfectSquares,0.588063174733,2.05968412634
44,dividingPowers,0.442764354002,2.78617822999
45,drawStoryGraph,0.141712416955,4.29143791523
46,factorTrinomial23456Level0,0.522014054987,2.38992972507
47,factorTrinomialHard,0.602176587442,1.98911706279
48,factorTrinomialHardGuided,0.540109086955,2.29945456522
49,factorTrinomialHardLevel1,0.540814190052,2.29592904974
50,factorTrinomialsGuided,0.434221041893,2.82889479054
51,findRationalHoles,0.256476856477,3.71761571762
52,functionNotationGivenOutput,0.510486709282,2.44756645359
53,gcfBinomial3,0.344782380021,3.27608809989
54,gcfFactorVariableOnly,0.451321578179,2.7433921091
55,graphInputVsOutput,0.440534744342,2.79732627829
57,graphingLines,0.57105082639,2.14474586805
58,greatestCommonFactor,0.493351217534,2.53324391233
59,identifyFractions,0.0713053362128,4.64347331894
60,identifyFunctionPointsL1,0.693717629135,1.53141185432
61,identifyFunctionTypeGraph,0.638815518643,1.80592240679
62,intergerSolutionInequality,0.264616054421,3.67691972789
63,intervalNotation,0.413232351894,2.93383824053
64,lineFromPointSlope,0.343519308594,3.28240345703
65,lineFromPointSlopeDiag,0.46713257785,2.66433711075
66,lineFromPointsGraphically,0.251369102306,3.74315448847
67,lineFromTwoPointsDiag,0.40817001204,2.9591499398
68,lineParabolaSystems,0.365763202423,3.17118398789
69,linearEquations,0.603348107334,1.98325946333
70,linearInequalities,0.394245147106,3.02877426447
71,linearSystemGraphically,0.374820044223,3.12589977888
72,linearSystemGraphicallyL1,0.494562641531,2.52718679234
73,literalOneStepLevel1,0.413968180374,2.93015909813
74,meanFromFrequency,0.106817238662,4.46591380669
75,meanGraphicallyLong,0.54372774889,2.28136125555
76,meanGraphicallySpread,0.726709443574,1.36645278213
77,mixedFactoring,0.283668527855,3.58165736073
78,multiStepPercentIncreaseDecrease,0.320144514613,3.39927742694
79,multiplyBinomials,0.504115137046,2.47942431477
80,multiplyDivideScientific,0.237461445544,3.81269277228
81,multiplyPolynomialsLevel1,0.37628642905,3.11856785475
82,multiplyPolynomialsLevel2,0.367456497238,3.16271751381
83,multiplyPolynomialsLevel3,0.256318507147,3.71840746426
84,multiplyPowers,0.532157096046,2.33921451977
85,parabolaAValue,0.431868837494,2.84065581253
86,parallelEquations,0.425585351701,2.8720732415
89,percentDifferenceLevel1,0.150927887902,4.24536056049
90,percentIncreaseDecrease,0.531783693435,2.34108153283
91,percentIncreaseDecreaseLevel2,0.457311311031,2.71344344484
92,percentIncreaseDecreaseLevel3,0.320403689949,3.39798155025
93,percentIncreaseDecreaseWordL2,0.0633921149218,4.68303942539
94,percentIncreaseDecreaseWordProblems,0.4830533084,2.584733458
95,pointSlopeForm,0.0762624848585,4.61868757571
96,pointSolvingInequalitySystem,0.264733537351,3.67633231324
97,pointsOnFunctionGraph,0.315434841659,3.4228257917
98,powersMix,0.408475050072,2.95762474964
99,pythagoreanTheorem,0.12749485452,4.3625257274
100,quadLinearSystem,0.542399589121,2.28800205439
101,quadraticFormula,0.216377408354,3.91811295823
102,quadraticFormulaIrrational1,0.271834420368,3.64082789816
103,quadraticFormulaIrrational2,0.389386739639,3.0530663018
104,quadraticFormulaRational,0.354202542361,3.2289872882
106,rangeFromEquation,0.0176088466917,4.91195576654
107,reducingFractions,0.544359780921,2.27820109539
108,reducingRadicalsGuided,0.410865861536,2.94567069232
109,samePerpenParallelNeither,0.542541253061,2.2872937347
110,simplifyBasicRadicalWithX,0.547593984446,2.26203007777
112,simplifyRational,0.458928296771,2.70535851614
113,slopeFromPoints,0.441451820444,2.79274089778
114,slopeGraphically,0.462392240609,2.68803879696
115,solveLinearSystemElim,0.396893403722,3.01553298139
116,solveLinearSystemGuided,0.310129971519,3.44935014241
117,solveQuadraticFactoring,0.531864037392,2.34067981304
118,solveQuadraticRational,0.600367878961,1.9981606052
119,solveTrinomialFactorA1,0.532609917809,2.33695041095
120,solveTrinomialFactorA23456,0.499193400672,2.50403299664
121,standardToSlopeIntForm,0.408612943393,2.95693528303
122,trigFindAngleA1,0.0592696833081,4.70365158346
124,vertexForm,0.291133603462,3.54433198269
125,writeLineEquation,0.514493480043,2.42753259979
126,xGameLevel1,0.766740624567,1.16629687717
127,xGameLevel2,0.638553161896,1.80723419052
128,xGameLevel3,0.574798638503,2.12600680749
129,xGameMasterProduct,0.142682837173,4.28658581413
